epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5204,1.36139,2.35177,1.36958,0.36003,0.32919,0.28573,0.16908,1.4718,2.19134,1.43026,0.000332542,0.000332542,0.000332542
2,151.559,1.37855,1.85197,1.38929,0.40567,0.32451,0.29976,0.17017,1.50151,2.07442,1.48882,0.000643901,0.000643901,0.000643901
3,224.654,1.38218,1.80928,1.38424,0.37268,0.31787,0.30261,0.16863,1.52085,2.01484,1.46774,0.00093326,0.00093326,0.00093326
4,295.96,1.37243,1.74474,1.38811,0.42601,0.33772,0.34591,0.20142,1.5126,1.82081,1.45098,0.000901,0.000901,0.000901
5,368.718,1.35063,1.6728,1.37194,0.45518,0.35809,0.36742,0.22315,1.41761,1.78444,1.39082,0.000868,0.000868,0.000868
6,441.578,1.34921,1.61948,1.36649,0.45852,0.37221,0.36689,0.22792,1.40181,1.71983,1.39672,0.000835,0.000835,0.000835
7,512.889,1.31244,1.5739,1.34483,0.49655,0.4116,0.422,0.25878,1.39871,1.61084,1.34342,0.000802,0.000802,0.000802
8,585.286,1.29442,1.53232,1.34256,0.49488,0.40088,0.40034,0.24271,1.4044,1.68275,1.38114,0.000769,0.000769,0.000769
9,657.405,1.28943,1.49218,1.33544,0.53102,0.44088,0.44535,0.27559,1.3731,1.56383,1.3635,0.000736,0.000736,0.000736
10,729.838,1.27923,1.45181,1.32757,0.47653,0.44023,0.44019,0.27508,1.34705,1.49293,1.32832,0.000703,0.000703,0.000703
11,802.174,1.26427,1.41642,1.31875,0.52114,0.45408,0.4572,0.28438,1.33196,1.54353,1.32614,0.00067,0.00067,0.00067
12,873.698,1.23491,1.40113,1.30719,0.54739,0.44584,0.46594,0.29661,1.32735,1.46513,1.33511,0.000637,0.000637,0.000637
13,946.205,1.22609,1.34979,1.30116,0.5391,0.46025,0.47378,0.30359,1.29101,1.4324,1.28673,0.000604,0.000604,0.000604
14,1018.58,1.23062,1.32798,1.29951,0.57541,0.47984,0.51915,0.32858,1.28717,1.38571,1.28769,0.000571,0.000571,0.000571
15,1089.52,1.23001,1.32176,1.30036,0.60816,0.51262,0.53649,0.34948,1.2537,1.33842,1.25656,0.000538,0.000538,0.000538
16,1162.18,1.21733,1.29483,1.28644,0.60884,0.52472,0.55472,0.35792,1.25505,1.27707,1.25515,0.000505,0.000505,0.000505
17,1234.05,1.20743,1.26782,1.29008,0.59209,0.50478,0.53258,0.35027,1.25649,1.28628,1.25781,0.000472,0.000472,0.000472
18,1307.19,1.19707,1.24342,1.27682,0.62772,0.50456,0.54295,0.36223,1.23339,1.25509,1.24477,0.000439,0.000439,0.000439
19,1379.76,1.19506,1.23239,1.27878,0.63007,0.50477,0.55233,0.36851,1.22975,1.25628,1.24291,0.000406,0.000406,0.000406
20,1451.57,1.19275,1.20715,1.27286,0.63751,0.52799,0.56698,0.37224,1.23145,1.23756,1.23694,0.000373,0.000373,0.000373
21,1523.61,1.20286,1.2014,1.28965,0.65778,0.5406,0.58727,0.38515,1.21602,1.18402,1.23019,0.00034,0.00034,0.00034
22,1593.43,1.18656,1.14997,1.28093,0.6496,0.54697,0.58631,0.38667,1.19582,1.20801,1.21625,0.000307,0.000307,0.000307
23,1664.12,1.18455,1.12012,1.27543,0.66492,0.54118,0.5926,0.4012,1.19416,1.16205,1.20765,0.000274,0.000274,0.000274
24,1733.02,1.17479,1.09486,1.2715,0.65756,0.54955,0.61124,0.41051,1.18068,1.13752,1.19278,0.000241,0.000241,0.000241
25,1803.06,1.16005,1.06417,1.25591,0.66281,0.55698,0.61209,0.41508,1.17084,1.12522,1.19179,0.000208,0.000208,0.000208
26,1871.28,1.15269,1.05597,1.25264,0.67827,0.54275,0.61057,0.41474,1.16182,1.14281,1.18433,0.000175,0.000175,0.000175
27,1940,1.15951,1.02718,1.25366,0.68481,0.5739,0.63215,0.43093,1.15155,1.08179,1.1765,0.000142,0.000142,0.000142
28,2009.73,1.14704,1.00528,1.24325,0.68078,0.5684,0.63005,0.43027,1.14919,1.09352,1.17294,0.000109,0.000109,0.000109
29,2078,1.12748,0.98484,1.23925,0.68579,0.57517,0.63406,0.43483,1.14024,1.08251,1.16756,7.6e-05,7.6e-05,7.6e-05
30,2146.75,1.11228,0.97555,1.22996,0.69501,0.56919,0.63786,0.43862,1.13368,1.06805,1.16525,4.3e-05,4.3e-05,4.3e-05
